Line #,Comment,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","CL32A476MOJNNWE","Cap Ceramic 47uF 16V X5R ±20% SMD 1210 +85°C Embossed T/R","C1","CMP-13271-000441-1","New From Design","Up to date","1","Samsung Electro-Mechanics","CL32A476MOJNNWE","Volume Production","DigiKey","1276-CL32A476MOJNNWECT-ND","0.65","0.65"
"","CAP 100nF 50V 1206(3216)","CAP 100nF 50V ±10% 1206 (3216 Metric) Thickness 1.7mm SMD","C2","CMP-1037-04201-1","Released","Up to date","1","Vishay","VJ1206Y104KXAMP","Volume Production","","","",""
"","EEUFM1C471B","Aluminum Electrolytic Capacitors (Radial Lead Type) 470uF ±20% 16V","C3","CMP-05427-001980-1","New From Design","Up to date","1","Panasonic","EEU-FM1C471B","Unknown","DigiKey","10-EEU-FM1C471BCT-ND","0.63","0.63"
"","CAP 100nF 50V 1206(3216)","CAP 100nF 50V ±10% 1206 (3216 Metric) Thickness 1.7mm SMD","C4","CMP-1037-04201-1","Released","Up to date","1","Vishay","VJ1206Y104KXAMP","Volume Production","","","",""
"","GCJ31CD7YA106KE02L","Cap Ceramic 10uF 35V X7T 10% SMD 1206 +125°C Embossed Plastic T/R","C5","CMP-06035-004889-1","New From Design","Up to date","1","Murata","GCJ31CD7YA106KE02L","New Product","Future Electronics","3164090","0.26","520"
"","CAP 100nF 50V 1206(3216)","CAP 100nF 50V ±10% 1206 (3216 Metric) Thickness 1.7mm SMD","C6","CMP-1037-04201-1","Released","Up to date","1","Vishay","VJ1206Y104KXAMP","Volume Production","","","",""
"","CAP 100nF 50V 1206(3216)","CAP 100nF 50V ±10% 1206 (3216 Metric) Thickness 1.7mm SMD","C7","CMP-1037-04201-1","Released","Up to date","1","Vishay","VJ1206Y104KXAMP","Volume Production","","","",""
"","CAP 1uF 16V 1206(3216)","CAP 1uF 16V ±10% 1206 (3216 Metric) Thickness 1.7mm SMD","C8","CMP-1037-04687-1","Released","Up to date","1","TDK","C3216X7R1C105K/1.30","Obsolete","","","",""
"","CAP 100nF 50V 1206(3216)","CAP 100nF 50V ±10% 1206 (3216 Metric) Thickness 1.7mm SMD","C9","CMP-1037-04201-1","Released","Up to date","1","Vishay","VJ1206Y104KXAMP","Volume Production","","","",""
"","CAP 1uF 16V 1206(3216)","CAP 1uF 16V ±10% 1206 (3216 Metric) Thickness 1.7mm SMD","C10","CMP-1037-04687-1","Released","Up to date","1","TDK","C3216X7R1C105K/1.30","Obsolete","","","",""
"","CAP 100nF 50V 1206(3216)","CAP 100nF 50V ±10% 1206 (3216 Metric) Thickness 1.7mm SMD","C11","CMP-1037-04201-1","Released","Up to date","1","Vishay","VJ1206Y104KXAMP","Volume Production","","","",""
"","CAP 1uF 16V 1206(3216)","CAP 1uF 16V ±10% 1206 (3216 Metric) Thickness 1.7mm SMD","C12","CMP-1037-04687-1","Released","Up to date","1","TDK","C3216X7R1C105K/1.30","Obsolete","","","",""
"","CAP 100nF 50V 1206(3216)","CAP 100nF 50V ±10% 1206 (3216 Metric) Thickness 1.7mm SMD","C13","CMP-1037-04201-1","Released","Up to date","1","Vishay","VJ1206Y104KXAMP","Volume Production","","","",""
"","598-8270-107F","SM LED 1206 ALINGAP G 7 REEL","D1","CMP-15384-000006-1","New From Design","Up to date","1","Dialight","598-8270-107F","Volume Production","Farnell","1466000","0.26693","1.33"
"","SML-LX1206IC-TR","LED Red, 65 mW, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","DS1","CMP-2000-07123-1","Released","Up to date","1","Lumex","SML-LX1206IC-TR","Volume Production","Farnell","1369579","0.23847","0.23847"
"","1729128","PCB Terminal Block, 13.5 A, 400 V, 2-Pin THD, RoHS, Bulk","J1","CMP-2000-05815-1","Released","Up to date","1","Phoenix Contact","1729128","Volume Production","Newark","1729128","1.63","1.63"
"","1729128","PCB Terminal Block, 13.5 A, 400 V, 2-Pin THD, RoHS, Bulk","J2","CMP-2000-05815-1","Released","Up to date","1","Phoenix Contact","1729128","Volume Production","Newark","1729128","1.63","1.63"
"","1729128","PCB Terminal Block, 13.5 A, 400 V, 2-Pin THD, RoHS, Bulk","J3","CMP-2000-05815-1","Released","Up to date","1","Phoenix Contact","1729128","Volume Production","Newark","1729128","1.63","1.63"
"","SSW-106-02-T-S","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54mm Pitch, 6-Pin, Female, RoHS","J4","CMP-1023-00360-1","Released","Up to date","1","Samtec","SSW-106-02-T-S","Volume Production","Mouser","200-SSW10602TS","0.82","0.82"
"","SSW-106-02-T-S","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54mm Pitch, 6-Pin, Female, RoHS","J5","CMP-1023-00360-1","Released","Up to date","1","Samtec","SSW-106-02-T-S","Volume Production","Mouser","200-SSW10602TS","0.82","0.82"
"","SSW-106-02-T-S","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54mm Pitch, 6-Pin, Female, RoHS","J6","CMP-1023-00360-1","Released","Up to date","1","Samtec","SSW-106-02-T-S","Volume Production","Mouser","200-SSW10602TS","0.82","0.82"
"","CRCW1206180KJNEA","RES Thick Film, 180kO, 5%, 0.25W, 200ppm/°C, 1206","R1","CMP-2003-01847-2","New From Design","Up to date","1","Vishay","CRCW1206180KJNEA","Volume Production","Future Electronics","5034412","0.0055","27.5"
"","RP73D2B100KBTG","Res Thin Film 1206 100KO 0.1% 0.25W 15ppm/°C Molded SMD","R2","CMP-03211-007900-1","New From Design","Up to date","1","TE Connectivity","RP73D2B100KBTG","Volume Production","Farnell","1501816","0.82788","0.82788"
"","CRCW12061K00JNTA","","R3","CMP-2003-01869-1","Released","Up to date","1","Vishay","CRCW12061K00JNTA","Volume Production","Future Electronics","3942174","0.0137","68.5"
"","CRCW12061K00JNTA","","R4","CMP-2003-01869-1","Released","Up to date","1","Vishay","CRCW12061K00JNTA","Volume Production","Future Electronics","3942174","0.0137","68.5"
"","CRCW12061K00JNTA","","R5","CMP-2003-01869-1","Released","Up to date","1","Vishay","CRCW12061K00JNTA","Volume Production","Future Electronics","3942174","0.0137","68.5"
"","Test Point","Test Point","TP1","CMP-00030-00006-7","Draft","Up to date","1","","","","","","",""
"","Test Point","Test Point","TP2","CMP-00030-00006-7","Draft","Up to date","1","","","","","","",""
"","Test Point","Test Point","TP3","CMP-00030-00006-7","Draft","Up to date","1","","","","","","",""
"","Test Point","Test Point","TP4","CMP-00030-00006-7","Draft","Up to date","1","","","","","","",""
"","ESP32-DEVKIT-V1","Dual core, Wi-Fi: 2.4 GHz up to 150 Mbits/s,BLE (Bluetooth Low Energy) and legacy Bluetooth, 32 bits, Up to 240 MHz","U1","CMP-008-000000-1","Draft","Up to date","1","","","","","","",""
"","DRV8833","1.5A 2-Channel DC Motor Drive Board Ultra Small Volume Motor Drive Module Input Voltage 3 to 10V","U2","","Not managed","","1","","","","","","",""
"","DRV8833","1.5A 2-Channel DC Motor Drive Board Ultra Small Volume Motor Drive Module Input Voltage 3 to 10V","U3","","Not managed","","1","","","","","","",""
"","DRV8833","1.5A 2-Channel DC Motor Drive Board Ultra Small Volume Motor Drive Module Input Voltage 3 to 10V","U4","","Not managed","","1","","","","","","",""
